name,lat,lon,temp,clouds,humidity,windy
Darhan,49.49,105.92,-6.05,99,99,5.17
Kavaratti,10.57,72.64,82.8,45,74,8.3
Gamba,28.28,88.52,4.35,0,24,3.2
Oudtshoorn,-33.59,22.2,51.91,0,77,4.76
Sioux Lookout,50.1,-91.92,25.56,5,73,6.93
Lakes Entrance,-37.88,147.99,80.15,87,74,7.7
Nelson Bay,-32.72,152.14,74.12,0,64,11.41
Port Blair,11.67,92.75,78.96,0,75,7.83
Quartucciu,39.25,9.18,54.79,40,87,8.05
Havre-Saint-Pierre,50.23,-63.6,19.4,90,79,12.75
Koutsouras,35.03,25.95,53.01,0,66,4.0
Northam,-31.65,116.67,56.86,0,87,1.12
Den Helder,52.96,4.76,36.3,90,93,10.29
Tymovskoye,50.85,142.66,-6.16,99,98,3.24
Santiago,16.69,121.54,70.57,100,98,2.19
Udachnyy,66.42,112.4,-34.6,92,73,4.41
Lufilufi,-13.87,-171.6,80.01,100,94,8.01
Grand-Santi,4.27,-54.38,78.84,65,89,3.2
Rodrigues Alves,-7.74,-72.65,82.08,100,92,2.98
Traverse City,44.76,-85.62,33.6,90,74,13.87
Mezen,65.85,44.24,14.65,100,86,7.58
Banda Aceh,5.56,95.32,72.57,14,89,4.63
Lensk,60.71,114.91,-32.82,100,99,1.52
Bukachacha,52.99,116.91,-22.68,73,95,1.88
Ahipara,-35.17,173.16,64.45,37,80,10.13
Omboue,-1.57,9.26,75.79,78,93,1.07
Yar-Sale,66.83,70.83,-6.36,97,99,5.75
Guthrie,35.88,-97.43,47.59,90,87,8.05
French Harbor,16.35,-86.43,82.4,40,65,4.7
Salinopolis,-0.61,-47.36,82.18,100,81,18.01
Neyshabur,36.21,58.79,42.96,0,35,1.39
Salalah,17.01,54.1,75.2,75,60,18.34
Gat,14.69,-16.54,75.72,0,39,4.7
Puerto del Rosario,28.5,-13.86,66.2,0,82,6.93
Marsa Matruh,31.35,27.25,53.6,40,66,5.82
Fare,-16.7,-151.02,80.53,100,76,20.11
Mahanoro,-19.9,48.8,81.21,100,77,1.99
Helensburgh,-34.19,150.98,72.37,0,60,10.29
Makakilo City,21.35,-158.09,80.4,75,65,10.29
Zyryanka,65.73,150.89,-25.01,98,83,4.32
Adrar,27.87,-0.29,60.8,100,31,10.29
La Crosse,43.8,-91.24,34.92,1,80,3.36
Abhar,36.14,49.22,30.45,100,96,9.37
Vryheid,-27.77,30.79,56.05,100,93,5.21
Morant Bay,17.88,-76.41,83.52,20,83,11.41
La Ronge,55.1,-105.3,12.2,75,85,4.97
Kurumkan,54.33,110.32,-12.3,100,78,1.28
Lagoa,37.14,-8.45,58.17,0,81,4.7
Nanchang,28.68,115.89,43.05,43,66,3.22
Cockburn Town,21.46,-71.14,80.6,40,69,13.87
Lishu,43.31,124.32,-2.0,0,98,0.27
Marand,38.43,45.77,39.2,40,97,11.41
Pucara,-21.7,-64.2,87.03,40,39,6.93
Teahupoo,-17.83,-149.27,75.79,90,88,8.05
Upata,8.02,-62.41,78.98,76,86,3.36
Smithers,54.78,-127.17,23.0,75,100,3.36
Auki,12.18,6.51,66.51,0,18,10.56
Huilong,31.15,106.5,43.43,86,76,2.73
Cabo San Lucas,22.89,-109.91,71.49,75,60,12.75
Lieksa,63.32,30.02,21.13,86,91,8.46
Zhangye,38.94,100.46,23.29,35,20,5.77
Malatya,38.35,38.32,35.6,75,100,2.24
Wanaka,-44.7,169.14,44.33,0,57,4.54
Itoman,26.12,127.67,60.31,75,59,10.29
Fort Frances,48.61,-93.4,30.09,1,58,6.93
Alamos,-36.9,-62.36,85.77,38,52,14.23
Dingle,11.0,122.67,73.67,0,91,7.38
Vestmannaeyjar,63.44,-20.27,46.31,33,80,24.52
Saint-Francois,46.42,3.91,45.55,90,93,3.36
Marawi,8.0,124.29,72.0,2,91,4.0
Broome,52.47,1.45,44.51,75,93,5.82
Diourbel,14.65,-16.23,83.44,0,39,4.7
Longyearbyen,78.22,15.63,19.4,40,73,9.17
